人口統計表,総人口,男性,女性,0〜4歳,5〜9歳,10〜14歳,15〜19歳,20〜24歳,25〜29歳,30〜34歳,35〜39歳,40〜44歳,45〜49歳,50〜54歳,55〜59歳,60〜64歳,65〜69歳,70〜74歳,75〜79歳,80〜84歳,85〜89歳,90〜94歳,95〜99歳,100歳以上
会富町,678,325,353,44,33,55,76,75,52,51,42,47,74,99,48,67,59,53,48,46,19,12,3,0
秋津１丁目,611,298,313,17,39,64,60,76,71,45,56,86,62,60,48,62,53,33,33,17,20,7,0,0
秋津２丁目,810,381,429,69,66,85,92,65,104,39,89,93,103,64,51,63,68,71,35,14,15,4,1,0
秋津３丁目,563,276,287,53,44,46,47,67,68,75,56,47,60,77,62,40,29,25,17,13,12,1,0,0
秋津新町,138,68,70,7,13,14,12,11,5,5,16,12,29,16,7,14,9,13,9,9,5,0,0,0
秋津町秋田,2649,1250,1399,234,409,464,302,187,137,202,336,361,317,258,145,152,139,81,59,58,36,21,1,0
秋津町沼山津,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
荒尾町,330,152,178,51,29,20,20,36,43,40,47,18,30,22,29,36,9,14,18,12,8,0,0,0
改寄町,1288,605,683,142,98,113,111,132,124,158,126,119,142,103,102,113,95,76,55,60,16,7,1,0
安政町,112,55,57,8,2,11,9,2,1,8,12,17,16,18,9,7,7,18,10,6,5,0,1,0
井川淵町,182,84,98,5,5,8,10,20,17,11,21,12,12,26,16,27,14,33,13,6,6,4,0,0
池亀町,818,442,376,37,54,72,100,206,60,37,69,74,96,94,87,72,66,47,47,30,10,2,0,0
池田１丁目,2653,1241,1412,203,197,211,260,365,233,284,254,281,277,256,176,189,224,203,109,88,64,13,6,1
池田２丁目,3013,1479,1534,202,187,240,295,477,267,238,240,226,319,266,315,258,359,261,170,90,52,25,3,2
池田４丁目,751,480,271,24,19,85,266,354,51,28,24,32,52,72,52,36,49,36,24,12,10,5,0,0
池上町,2623,1211,1412,184,215,355,256,224,248,204,249,312,284,294,203,192,213,151,110,72,51,17,0,0
石原町,994,480,514,59,119,119,127,118,88,85,105,134,133,117,78,52,50,31,24,20,12,3,0,0
出水１丁目,1117,498,619,89,99,97,69,81,122,158,170,105,109,105,75,83,81,54,54,26,24,13,1,0
出水２丁目,588,260,328,40,45,53,69,55,39,53,59,73,87,53,54,32,33,41,34,12,8,8,0,0
出水３丁目,1588,767,821,127,193,145,145,138,205,171,210,183,157,158,133,107,108,79,56,23,11,3,2,1
出水５丁目,2011,958,1053,166,145,196,196,214,162,213,196,217,258,182,169,137,165,168,106,43,19,15,2,0
出水６丁目,3509,1688,1821,347,273,321,428,410,461,388,360,382,426,371,303,233,212,146,57,35,32,10,2,0
出水７丁目,2573,1228,1345,138,180,248,250,266,222,174,210,223,278,286,277,340,264,207,109,68,35,17,6,3
出水８丁目,1854,851,1003,133,150,203,189,131,184,154,168,212,195,196,161,122,200,131,95,42,28,7,2,2
和泉町,386,185,201,15,30,51,38,41,26,18,29,40,48,47,31,31,42,43,14,13,10,3,1,0
板屋町,38,15,23,0,3,0,4,6,2,3,0,2,6,5,2,1,4,4,7,2,2,0,0,0
出仲間１丁目,711,352,359,67,83,89,88,68,79,96,100,104,97,57,33,33,20,18,17,7,1,6,0,0
出仲間２丁目,498,222,276,38,30,39,37,40,55,40,42,52,47,57,53,43,44,36,33,23,7,1,3,0
出仲間３丁目,352,171,181,39,21,60,45,45,29,26,33,55,62,43,21,13,8,10,5,6,2,0,0,0
出仲間４丁目,785,367,418,63,73,71,82,69,78,76,64,75,90,75,112,86,66,29,19,14,7,2,1,0
出仲間５丁目,461,215,246,43,49,29,52,54,84,51,48,50,49,36,25,42,28,14,8,7,7,0,0,0
出仲間６丁目,937,458,479,122,98,72,115,103,115,91,118,114,136,86,49,55,51,37,20,5,5,3,0,0
出仲間７丁目,1127,512,615,110,114,113,132,85,106,125,130,148,115,102,78,69,80,62,34,16,17,3,0,0
出仲間８丁目,329,160,169,25,27,20,27,26,33,28,44,53,25,31,48,41,23,6,10,14,6,2,0,0
出仲間９丁目,146,76,70,33,27,10,7,17,26,37,23,10,12,5,9,2,0,4,0,0,0,0,0,0
今町,314,141,173,13,20,22,24,35,23,30,26,27,34,33,42,29,28,26,19,12,9,1,2,0
魚屋町１丁目,26,6,20,0,0,3,3,2,3,2,1,2,3,2,1,2,2,1,2,1,1,1,0,0
魚屋町２丁目,32,15,17,1,4,7,2,3,2,1,4,2,2,2,7,2,2,0,1,3,2,0,0,0
魚屋町３丁目,65,33,32,7,2,0,4,7,22,17,4,4,4,1,4,8,3,7,1,1,1,1,0,0
海路口町,2126,1018,1108,120,153,185,210,165,152,165,175,236,242,201,218,238,230,196,109,78,54,14,3,0
薄場町,1972,922,1050,176,168,207,195,158,194,226,183,190,201,209,130,134,167,176,83,57,26,11,3,0
打越町,1901,907,994,134,148,163,173,200,224,164,179,186,244,199,178,148,181,118,85,43,23,9,7,2
内田町,1325,648,677,71,115,118,127,99,135,118,112,165,145,138,123,141,119,97,80,35,18,16,0,1
内坪井町,706,306,400,43,29,27,68,69,92,69,58,57,86,85,70,67,57,54,43,17,14,7,0,0
江越１丁目,544,276,268,114,54,40,38,48,118,126,106,47,22,27,21,15,17,14,9,4,0,0,0,0
江越２丁目,272,132,140,42,32,20,20,22,60,78,34,21,23,16,8,8,9,4,6,1,0,0,0,0
画図町大字上無田,775,370,405,62,59,75,84,86,100,65,67,77,84,100,57,63,42,35,38,26,17,8,0,0
画図町大字重富,1397,698,699,86,183,209,181,104,81,99,156,239,216,153,114,84,59,50,33,22,17,7,1,1
画図町大字下江津,2688,1263,1425,186,207,264,283,275,288,220,244,264,333,315,278,243,190,148,122,58,23,4,6,0
画図町大字下無田,1032,489,543,56,81,101,92,84,95,61,84,83,154,130,106,95,82,74,57,48,24,11,2,1
画図町大字所島,695,347,348,36,45,86,94,74,71,48,54,81,104,79,76,43,47,31,34,15,16,7,1,0
江津１丁目,2655,1212,1443,231,196,222,216,229,279,261,239,227,266,275,265,281,236,192,144,63,31,13,1,0
榎町,2027,947,1080,129,135,210,260,220,211,140,161,244,241,213,232,164,183,112,65,27,24,2,1,0
大江１丁目,1945,928,1017,90,81,123,185,518,247,145,123,168,188,173,143,133,166,140,122,77,33,15,3,0
大江２丁目,1866,931,935,146,150,163,183,280,189,174,212,235,214,194,117,121,100,122,92,74,19,9,3,0
大江３丁目,1173,609,564,118,143,137,114,120,105,184,201,152,145,96,80,33,63,29,36,16,7,2,1,0
大江４丁目,1472,635,837,80,91,107,166,185,179,119,170,137,156,166,105,83,116,107,60,49,19,9,1,2
大江５丁目,740,311,429,28,29,48,90,104,68,66,52,47,75,66,66,63,63,63,50,29,28,14,2,0
大江６丁目,1122,486,636,65,80,98,90,113,112,101,115,102,138,109,114,68,93,76,59,35,24,12,4,0
大江本町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大窪１丁目,246,121,125,28,16,19,17,35,23,37,10,18,22,28,25,25,32,20,5,4,0,2,1,0
大窪２丁目,244,122,122,10,13,12,29,29,29,18,28,22,33,28,26,17,29,14,16,9,1,3,0,0
大窪３丁目,289,141,148,14,24,39,33,30,21,6,28,34,45,54,17,16,31,19,11,4,3,0,1,0
大窪４丁目,278,136,142,29,16,19,18,69,66,28,17,19,37,18,20,25,13,7,3,6,4,0,0,0
大窪５丁目,1040,512,528,103,67,98,138,107,145,111,91,102,145,127,100,70,65,38,27,8,7,0,2,1
大鳥居町,238,120,118,8,21,35,17,34,11,6,26,37,23,21,15,24,30,31,9,5,3,2,0,0
岡田町,578,259,319,27,42,41,44,49,89,53,35,55,69,54,57,53,43,46,32,18,22,6,2,0
沖新町,2225,1060,1165,178,158,240,202,161,184,211,229,228,190,228,208,213,251,166,103,65,47,18,5,0
奥古閑町,1768,832,936,86,132,169,165,138,133,112,147,171,202,158,185,175,193,144,118,79,58,32,3,0
小島上町,888,417,471,64,69,75,76,63,65,68,71,84,96,112,88,88,92,81,59,31,17,5,1,0
小島下町,124,53,71,5,5,2,5,7,14,6,3,7,9,10,31,15,13,14,11,13,7,0,0,0
尾ノ上１丁目,2171,1029,1142,160,180,221,229,233,263,233,233,264,271,225,154,147,118,115,69,40,33,10,2,0
尾ノ上２丁目,1609,790,819,200,199,189,178,169,209,198,228,243,189,112,87,70,50,50,12,7,8,1,0,0
尾ノ上３丁目,1446,709,737,184,177,178,90,129,145,186,254,161,158,118,92,81,57,80,31,20,8,6,0,0
尾ノ上４丁目,1926,933,993,223,189,168,177,208,262,275,224,212,202,205,160,140,91,53,40,21,7,2,0,0
帯山１丁目,2960,1370,1590,276,279,287,298,295,272,303,320,305,327,316,199,197,215,170,130,73,50,14,4,0
帯山２丁目,1442,643,799,114,152,135,115,177,115,146,179,166,172,113,121,92,74,93,62,33,15,11,0,0
帯山３丁目,2880,1343,1537,214,205,256,250,282,310,286,263,319,308,261,225,237,300,253,119,58,50,22,5,0
帯山５丁目,2772,1305,1467,194,272,276,265,235,249,247,289,287,283,242,203,233,290,264,109,78,42,17,1,1
帯山６丁目,969,457,512,78,66,107,76,96,104,108,115,123,94,80,67,71,105,70,36,16,11,2,1,0
帯山７丁目,2177,1081,1096,167,181,239,248,314,271,241,201,257,242,242,188,134,113,100,47,30,31,11,1,0
帯山８丁目,598,292,306,96,46,31,39,85,139,92,73,55,70,44,41,15,25,17,15,4,2,1,0,0
帯山９丁目,830,394,436,78,83,74,89,94,136,110,128,89,104,65,44,47,33,25,9,14,0,1,0,1
小峯１丁目,543,245,298,36,41,37,68,59,62,38,46,46,65,81,45,47,31,40,24,13,4,5,0,0
小峯２丁目,1198,580,618,118,106,148,134,161,124,173,119,138,155,129,80,54,51,43,22,16,2,2,1,2
小峯３丁目,810,386,424,69,89,76,75,95,92,100,89,76,106,103,60,58,37,34,20,12,4,1,0,0
小峯４丁目,422,203,219,61,40,33,52,46,80,67,38,53,41,39,12,21,13,19,8,2,0,0,0,0
小山町,6010,2932,3078,586,525,615,669,692,671,594,619,635,736,592,449,431,329,313,174,143,94,57,16,2
鹿帰瀬町,407,203,204,22,36,43,51,34,22,32,39,50,61,33,39,15,44,42,20,16,8,3,0,0
梶尾町,2830,1374,1456,254,276,288,274,254,195,237,303,322,325,256,264,271,254,213,109,58,36,12,3,0
鍛冶屋町,72,23,49,2,4,0,0,18,21,10,7,1,7,2,1,5,7,4,2,3,1,0,0,0
春日１丁目,764,328,436,49,40,48,62,77,76,65,54,54,75,89,80,84,78,67,39,31,17,6,1,0
春日２丁目,383,178,205,19,4,14,24,42,56,19,26,39,40,63,48,30,39,49,22,18,3,4,2,0
春日３丁目,899,406,493,40,52,55,65,90,87,70,61,77,106,101,92,80,90,110,64,27,28,6,4,0
春日４丁目,1349,620,729,84,70,80,127,131,155,109,124,115,174,139,149,110,110,106,85,43,38,11,7,2
春日５丁目,765,373,392,37,24,48,69,110,91,44,49,63,86,111,88,94,59,58,46,37,17,5,2,0
春日６丁目,553,240,313,16,29,33,41,35,44,36,30,32,55,63,76,51,66,74,60,30,14,3,5,0
春日７丁目,1344,649,695,133,101,74,80,142,195,137,139,118,136,126,136,133,124,86,60,47,16,8,2,0
春日８丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿子木町,1397,627,770,242,124,103,114,130,227,150,113,84,137,105,103,64,61,55,63,60,51,20,15,3
釜尾町,260,129,131,12,31,22,28,33,10,12,25,21,42,24,16,17,30,42,9,11,2,2,0,0
上鍛冶屋町,189,89,100,17,14,17,15,14,18,21,25,20,43,35,10,3,6,11,7,1,1,0,0,0
上京塚町,37,28,9,6,3,0,22,5,12,4,8,0,0,3,2,0,0,0,0,0,0,0,0,0
上熊本１丁目,1436,652,784,61,114,153,181,195,126,90,125,142,215,183,142,117,122,47,38,24,8,4,0,1
上熊本２丁目,624,300,324,70,57,45,59,58,67,89,85,76,92,43,55,32,26,28,16,17,6,3,0,0
上熊本３丁目,1963,938,1025,168,193,265,267,304,216,195,184,273,238,167,112,85,77,53,47,24,30,3,0,0
上水前寺１丁目,422,195,227,28,18,39,31,72,59,64,21,45,42,46,42,31,18,32,15,8,4,1,1,0
上水前寺２丁目,1859,838,1021,248,234,162,139,145,192,241,218,172,161,158,134,115,151,85,68,36,25,9,3,1
上通町,407,180,227,20,21,24,37,26,34,37,30,32,49,49,44,37,44,41,30,17,11,2,2,0
上南部町,2158,1007,1151,182,218,208,239,193,217,217,229,188,274,245,164,140,147,138,74,58,22,7,3,2
上林町,380,123,257,5,14,31,83,28,31,14,22,24,35,39,31,36,36,33,24,12,4,1,0,0
辛島町,1223,677,546,111,82,105,183,328,186,120,131,120,117,125,63,44,58,49,43,18,14,1,2,0
川口町,2583,1253,1330,145,139,190,233,224,246,172,190,247,299,308,270,294,298,241,146,102,61,23,8,0
川尻１丁目,440,203,237,36,35,27,41,39,23,25,32,38,59,42,48,37,49,41,34,18,13,5,1,0
川尻２丁目,195,94,101,8,5,21,20,28,17,25,14,19,16,22,17,15,14,16,14,10,6,2,0,0
川尻３丁目,724,347,377,20,36,64,66,85,42,60,36,73,99,87,60,75,77,78,46,34,23,9,1,0
川尻４丁目,729,324,405,29,29,36,63,94,65,36,39,39,86,110,75,98,63,69,45,52,19,6,0,0
川尻５丁目,322,145,177,6,14,26,32,30,19,15,29,43,36,32,31,37,47,38,10,9,7,3,3,0
川尻６丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
河内町大多尾,496,249,247,40,46,34,22,53,43,36,54,35,42,46,59,61,51,57,20,17,24,5,0,0
河内町面木,80,38,42,4,8,3,6,10,1,10,4,8,11,5,5,7,12,9,7,4,3,1,0,0
河内町河内,1986,923,1063,104,118,177,205,155,128,139,153,168,212,252,168,203,216,207,113,103,69,18,1,0
河内町白浜,1104,522,582,78,86,89,78,106,91,115,104,70,125,116,141,96,99,91,62,37,32,9,1,0
河内町岳,805,382,423,29,44,70,72,62,48,58,73,62,97,106,77,101,90,75,42,50,27,4,0,0
河内町東門寺,211,101,110,15,23,32,17,13,19,13,20,18,25,13,10,24,23,15,20,7,3,0,2,0
河内町野出,830,379,451,46,62,85,69,57,45,58,76,83,78,67,86,85,86,79,50,45,32,16,3,1
河内町船津,2384,1123,1261,134,156,219,218,159,155,197,232,202,273,257,210,247,295,220,151,79,78,17,7,1
川端町,44,22,22,5,3,10,4,4,3,2,3,5,2,8,2,1,0,5,4,3,0,0,2,0
河原町,52,24,28,0,1,0,3,5,5,2,2,4,7,6,7,6,12,5,7,2,1,1,0,0
北迫町,178,84,94,11,16,9,18,24,8,7,11,13,27,17,14,26,21,20,8,8,3,0,1,0
北千反畑町,412,176,236,7,29,39,43,50,30,24,27,26,55,37,34,36,37,44,27,29,10,1,3,0
京塚本町,2042,944,1098,76,142,188,181,259,184,139,160,158,242,247,184,162,144,159,171,110,50,28,2,0
京町１丁目,1248,551,697,71,78,82,109,119,146,128,113,126,154,138,107,100,103,80,59,43,28,9,6,0
京町２丁目,1172,541,631,97,107,118,97,84,106,129,179,121,125,93,100,70,77,69,62,43,23,13,0,0
草葉町,274,108,166,7,18,11,27,19,19,21,36,34,32,28,29,32,27,16,15,7,3,1,0,0
楠１丁目,1533,675,858,43,69,111,150,146,134,81,104,120,153,173,195,234,173,134,110,45,29,3,1,0
楠２丁目,924,488,436,64,74,72,95,75,144,122,72,74,107,80,96,108,98,59,27,15,17,10,3,0
楠３丁目,84,38,46,2,4,4,5,6,3,9,5,5,5,7,14,10,22,7,6,4,3,1,0,0
楠４丁目,1284,607,677,98,107,120,142,141,139,99,104,150,178,137,151,109,86,59,38,25,6,1,1,0
楠５丁目,1088,494,594,66,85,99,110,98,83,74,92,107,122,109,125,142,118,75,31,22,20,3,0,1
楠６丁目,509,260,249,57,52,55,44,56,68,69,59,49,53,58,49,46,16,7,20,9,1,1,0,0
楠７丁目,1256,581,675,96,132,161,95,114,148,116,169,130,122,88,122,131,90,54,34,16,14,5,0,0
楠８丁目,879,419,460,101,84,86,80,72,96,149,81,78,81,106,93,78,38,28,21,16,10,0,0,0
楠野町,1136,539,597,39,82,122,155,120,100,59,106,121,149,164,133,99,78,66,37,28,15,2,0,0
九品寺１丁目,1176,526,650,42,41,56,94,196,169,129,102,109,156,136,117,100,89,66,43,28,19,9,1,0
九品寺２丁目,610,269,341,35,28,31,49,117,82,66,24,40,70,61,34,46,60,52,40,20,22,2,0,0
九品寺３丁目,2068,950,1118,196,165,159,184,264,268,256,263,235,222,163,125,148,136,102,54,45,25,5,3,0
九品寺４丁目,665,286,379,38,26,24,38,72,76,69,93,43,62,59,50,70,62,56,45,36,19,11,2,0
九品寺５丁目,1392,660,732,93,89,94,131,190,170,162,132,115,149,159,140,142,89,83,59,30,15,9,1,0
九品寺６丁目,465,214,251,28,25,26,26,58,81,49,48,36,56,53,45,40,39,19,22,13,11,3,1,0
黒髪１丁目,1377,638,739,78,84,125,126,231,172,122,119,108,142,116,117,114,143,90,59,38,22,8,0,1
黒髪２丁目,1689,873,816,26,42,81,201,625,197,85,60,106,142,164,169,124,121,139,124,81,50,18,6,1
黒髪３丁目,969,472,497,28,50,73,121,277,125,65,67,106,82,65,57,62,84,66,60,23,20,10,0,0
黒髪４丁目,1375,723,652,58,72,69,154,484,187,107,103,95,104,113,100,94,94,93,77,45,32,13,4,0
黒髪５丁目,1838,933,905,79,103,111,207,619,230,135,111,119,185,146,130,116,109,105,86,79,66,24,9,2
黒髪６丁目,875,457,418,53,52,50,119,256,78,84,72,71,93,64,57,82,81,43,45,15,11,4,2,0
黒髪８丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
黒髪町大字坪井,324,145,179,46,43,27,36,25,23,45,47,45,31,27,22,11,19,11,3,6,2,0,0,0
神水１丁目,1670,746,924,91,118,130,142,162,155,131,110,142,163,152,153,139,134,161,125,83,67,49,7,2
神水２丁目,1381,610,771,91,89,98,118,118,136,125,136,130,123,152,125,117,119,117,86,60,24,26,1,0
慶徳堀町,17,6,11,0,0,0,0,0,7,4,0,1,0,0,0,4,2,1,2,0,2,0,0,0
健軍１丁目,1493,688,805,135,122,155,123,156,195,177,180,161,157,145,103,84,94,71,58,34,19,5,7,0
健軍２丁目,1252,765,487,71,47,315,505,154,154,111,92,113,110,81,64,58,46,41,27,11,10,6,1,0
健軍３丁目,2377,1129,1248,245,201,225,206,231,353,270,309,309,268,224,188,123,129,96,54,36,26,11,2,0
健軍４丁目,1789,836,953,115,114,117,156,171,243,191,146,176,203,196,155,171,147,122,93,68,25,11,5,0
健軍５丁目,228,101,127,17,15,21,19,24,19,22,27,26,17,22,18,16,20,26,14,6,0,0,0,0
健軍本町,271,135,136,24,23,26,38,28,17,19,39,40,52,49,25,2,7,8,1,4,2,1,1,0
小糸山町,1382,665,717,175,155,146,132,118,169,177,161,167,132,116,119,73,66,63,39,27,6,6,0,0
幸田１丁目,509,255,254,35,43,55,45,35,53,38,60,49,49,46,60,70,44,33,20,12,13,3,1,0
幸田２丁目,585,292,293,64,77,62,57,52,58,78,80,61,76,40,41,40,41,32,7,7,4,0,0,0
紺屋阿弥陀寺町,34,16,18,1,2,3,6,2,5,2,0,1,3,7,5,4,5,3,0,0,1,0,0,0
紺屋今町,104,44,60,8,0,3,1,11,10,17,13,12,8,12,15,9,8,5,7,8,1,0,0,0
紺屋町１丁目,20,11,9,2,6,3,3,0,0,1,2,7,4,2,0,0,0,0,1,0,0,0,0,0
紺屋町２丁目,50,21,29,7,1,2,6,2,3,4,2,2,5,1,5,12,9,3,5,2,0,0,0,0
紺屋町３丁目,106,49,57,3,10,2,2,19,22,22,15,8,5,3,6,12,14,3,4,4,1,0,0,0
子飼本町,659,314,345,18,19,21,51,193,94,49,32,43,63,56,50,45,54,65,52,40,19,8,0,1
国府１丁目,1454,634,820,78,72,106,125,136,184,123,134,127,140,169,135,133,108,119,86,53,40,20,0,0
国府２丁目,2097,922,1175,157,132,149,291,187,206,207,190,176,204,204,188,177,188,161,98,54,33,14,3,0
国府３丁目,3188,1541,1647,326,295,332,310,298,346,399,435,382,390,328,235,164,170,144,87,43,27,13,4,1
国府４丁目,1238,587,651,91,83,86,118,129,160,115,114,125,158,146,67,101,106,92,62,38,23,7,1,3
国府本町,1444,688,756,141,102,121,133,162,164,189,139,131,169,155,107,108,98,72,58,46,26,9,2,0
小沢町,473,188,285,35,31,29,36,34,48,60,43,39,57,53,40,32,40,19,33,18,11,2,1,0
古城町,83,34,49,0,2,0,4,7,6,5,7,3,9,8,12,16,12,13,4,8,1,0,0,0
壺川１丁目,979,443,536,63,50,67,78,102,100,72,72,82,133,94,99,90,63,94,55,55,31,16,5,1
壺川２丁目,541,252,289,24,56,76,43,38,37,33,61,84,65,59,47,28,47,39,28,17,5,6,0,0
湖東２丁目,1344,627,717,71,85,92,105,132,165,111,89,128,114,168,124,120,130,123,86,64,38,22,3,1
湖東３丁目,824,386,438,43,54,65,73,78,69,82,49,79,93,62,92,66,96,88,57,35,26,2,1,0
琴平１丁目,819,367,452,41,25,47,37,83,116,87,69,46,75,63,91,98,123,65,61,21,32,3,3,0
琴平２丁目,1047,518,529,125,92,85,101,115,130,127,136,104,108,112,82,62,56,44,39,28,14,5,0,0
琴平本町,1657,715,942,48,69,106,159,180,172,107,133,140,223,169,136,141,179,165,115,85,30,13,2,0
呉服町１丁目,120,44,76,6,9,2,9,12,11,18,16,6,7,7,20,13,9,8,3,5,3,0,0,0
呉服町２丁目,145,70,75,11,4,5,8,27,24,20,5,10,17,28,14,15,7,7,3,3,4,2,1,0
呉服町３丁目,112,49,63,10,6,8,10,8,6,12,10,10,17,15,11,12,6,7,4,3,5,1,0,0
米屋町１丁目,210,83,127,22,9,9,9,29,37,38,28,27,24,15,14,10,6,6,7,3,0,0,0,0
米屋町２丁目,250,113,137,22,24,27,16,19,26,34,23,26,31,28,26,21,16,10,6,2,6,0,0,0
